TranslatedRecipeName,TranslatedIngredients,TotalTimeInMins,Cuisine,Cleaned-Ingredients,Ingredient-count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assamese Narasingh Masor Jhol Recipe (Fish In Curry Leaves Gravy),"1 tablespoon Whole Black Peppercorns - ground roughly,4 Sardine fish - or carps,4 Garlic,Lukewarm Water - as needed,3 Dry Red Chilli - (adjust),Curry leaves - 1 bunch,2 Green Chillies - (adjust),1 teaspoon Turmeric powder (Haldi),1 tablespoon Mustard oil",20,Assamese,"mustard oil,black peppercorns ground,sardine fish carps,water,dry red chilli,garlic,curry,turmeric powder,green chillies",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrimp Walnut Bruschetta Recipe Flavored With Cheesy Dip,"Butter - as required,1 Baguette - cut into slices,Red Chilli flakes - as needed,1/4 cup Green olives - chopped,250 grams Shrimps - cleaned and deveined,4 tablespoons Del Monte Cheesy Dip,Salt - as needed,3 sprig Dill leaves - chopped,Salad leaves - (rocket leaves or any other salad leaf),Black pepper powder - as needed,Extra Virgin Olive Oil - as required,3 cloves Garlic - finely chopped,1/4 cup Walnuts - roughly broken",60,Italian Recipes,"salt,black pepper powder,cloves garlic,virgin olive oil,baguette,butter,red chilli flakes,del monte cheesy dip,green olives,salad leaves (rocket leaves other salad leaf),shrimps deveined,walnuts,dill leaves",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiwi Guava Spritzer Recipe,"2 Kiwi,Mint Leaves (Pudina) - for garnish,4 Guava - (pink variety) cut into cubes,1 tablespoon Ginger - grated,2 tablespoons Lemon juice,1/4 cup Sugar,3 cups Aerated water (Soda Water)",15,Indian,"ginger,guava (pink variety),sugar,lemon,mint leaves (pudina),aerated water (soda water),kiwi",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soya Chunks Masala in Coconut Milk Recipe,"1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Curry powder,3 cloves Garlic - grated,Sunflower Oil - for cooking,Salt - to taste,1 teaspoon Cumin seeds (Jeera),1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 Onion - finely chopped,2 Tomatoes - finely sliced,2 cups Soy Chunks (Nuggets) - boiled and squeezed well,3 Green Chillies - slit,1 sprig Curry leaves,100 ml Coconut milk",40,South Indian Recipes,"tomato,coconut milk,salt,coriander powder,red chilli powder,cloves garlic,curry leaves,onion,cumin seeds (jeera),curry powder,soy (nuggets) squeezed,turmeric powder,green chillies,sunflower oil",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Lemon Tea Cake Recipe,"1/4 cup Fresh orange juice,2 teaspoons Baking powder,1 teaspoon Lemon juice,1/4 cup Milk,1/4 teaspoon Salt,1 cup Caster Sugar,1/4 teaspoon Orange Zest (Rind),2-1/2 cups Whole Wheat Flour,1/2 cup Extra Virgin Olive Oil,4 Whole Eggs",45,Continental,"baking powder,wheat flour,salt,orange,milk,virgin olive oil,orange juice,lemon,caster sugar,eggs",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watermelon Carrot Radish Juice Recipe,"500 grams Carrots (Gajjar) - diced,250 grams Mooli/ Mullangi (Radish) - diced,Lemon juice - to taste,1 pinch Salt,1 Watermelon - peeled and cubed",20,Continental,"salt,carrot,lemon,watermelon,mooli mullangi (radish)",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fennel Potato Croquettes With Paneer Recipe,"100 grams Paneer (Homemade Cottage Cheese) - crumbled,Whole Wheat Bread crumbs,1 teaspoon Cumin powder (Jeera),2 tablespoons All Purpose Flour (Maida),Salt - to taste,Sunflower Oil - for coating,2 teaspoons Fennel seeds (Saunf) - coarsely pounded,2 Green Chillies - finely chopped,1 Onion - finely chopped,Coriander (Dhania) Leaves - small bunch,1 Egg white - (optional),4 Potatoes (Aloo) - boiled",60,Continental,"coriander (dhania),cumin powder (jeera),salt,paneer,fennel seeds (saunf),flour (maida),eggs,onion,wheat bread crumbs,potato (aloo),green chillies,sunflower oil",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drumstick Leaves Sabzi With Crushed Peanuts Recipe,"Salt - to taste,1/4 teaspoon Cumin seeds (Jeera),1 Onion - chopped,1/4 teaspoon Mustard seeds,2 cloves Garlic - finely chopped,1/4 teaspoon Red Chilli powder,2 cups Drumstick Leaves (Moringa/Murungai Keerai),1/4 cup Water,1 teaspoon Sunflower Oil,2 teaspoons Roasted Peanuts (Moongphali),2 tablespoon Fresh coconut - grated",30,South Indian Recipes,"salt,drumstick leaves (moringamurungai keerai),coconut,mustard seeds,red chilli powder,cloves garlic,water,onion,cumin seeds (jeera),peanuts (moongphali),sunflower oil",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Lo Mein Recipe,"1/4 cup Broccoli - cut into small florets,1 tablespoon Extra Virgin Olive Oil,1 tablespoon Soy sauce,1/4 teaspoon Brown Sugar (Demerara Sugar),Salt - to taste,2 tablespoon Sunflower Oil - + 1 teaspoon,2 cups Wheat Noodles,2 cloves Garlic - minced,1 Carrot (Gajjar) - julienned,1/2 cup White onion - finely chopped,1/2 teaspoon Sriracha sauce,1/4 Green Bell Pepper (Capsicum) - julienned,1/4 Red Bell pepper (Capsicum) - julienned,1/4 Yellow Bell Pepper (Capsicum) - julienned,1 tablespoon Red Chilli sauce,1/2 cup Spring Onion Greens - finely chopped",25,Chinese,"yellow bell pepper (capsicum),salt,red bell pepper (capsicum),spring onion greens,wheat noodles,cloves garlic,virgin olive oil,carrot,soy sauce,sriracha sauce,broccoli,brown sugar (demerara sugar),green bell pepper (capsicum),red chilli sauce,white onion,sunflower oil",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doddapatre Soppina Chitranna Recipe (Spiced Indian Thyme Rice),"Coriander (Dhania) Leaves - a few sprigs finely chopped for garnish,1 teaspoon White Urad Dal (Split),1/2 cup Dessicated Coconut - chopped,1 tablespoon Raw Peanuts (Moongphali),Salt - to taste,1/2 teaspoon White Urad Dal (Split),1 teaspoon Mustard seeds,1-1/2 cups Cooked rice,1 teaspoon Chana dal (Bengal Gram Dal),3 Byadagi Dried Chillies,3 Guntur Dried Chillies,1/2 teaspoon Chana dal (Bengal Gram Dal),10 Indian borage (Doddapatre) - cleaned washed and separated,3/4 teaspoon Cumin seeds (Jeera),1/4 teaspoon Asafoetida (hing),2 tablespoons Sunflower Oil,1 sprig Curry leaves",50,South Indian Recipes,"salt,guntur dried chillies,coriander (dhania) leaves,indian borage (doddapatre) separated,rice,coconut,mustard seeds,asafoetida (hing),curry leaves,white urad dal (split),byadagi dried chillies,cumin seeds (jeera),peanuts (moongphali),chana dal (bengal gram dal),sunflower oil",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhindi Masala Gravy Recipe - Ladies Finger In Tomato Onion Gravy,"1/2 teaspoon Turmeric powder (Haldi),1 inch Cinnamon Stick (Dalchini),Salt - to taste,5 cloves Garlic,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),1 Cardamom (Elaichi) Pods/Seeds,1 teaspoon Coriander Powder (Dhania),1 inch Ginger,250 grams Bhindi (Lady Finger/Okra) - thinly sliced,2 tablespoons Curd (Dahi / Yogurt),2 Green Chillies - chopped,2 Cloves (Laung),1 Bay leaf (tej patta),1 Mace (Javitri),1 Onion - roughly chopped,Sunflower Oil,3 Tomatoes - roughly chopped,1/2 teaspoon Red Chilli powder",50,North Indian Recipes,"tomato,salt,ginger,cardamom (elaichi) podsseeds,bay leaf (tej patta),red chilli powder,cloves garlic,curd,onion,cinnamon stick (dalchini),mace (javitri),bhindi (lady fingerokra),kasuri methi (dried fenugreek leaves),cloves (laung),coriander powder,turmeric powder,green chillies,sunflower oil",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goan Style French Beans Foogath Recipe,"1 Onion - sliced,2 Kashmiri dry red chillies - broken,1/2 teaspoon Mustard seeds,3 tablespoon Sunflower Oil,8 Curry leaves,2 Green Chillies - slit,250 grams Green beans (French Beans) - cut into 1/2 inch pieces,3 tablespoon Fresh coconut - grated,Sugar - a pinch,1/2 teaspoon Cumin seeds (Jeera),1 teaspoon Salt",25,Goan Recipes,"salt,green beans (french beans),mustard seeds,coconut,kashmiri dry red chillies,curry leaves,sugar,onion,cumin seeds (jeera),green chillies,sunflower oil",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medu Vada With Onion (Savoury Donuts) Recipe,"1/2 inch Ginger - optional,Coriander (Dhania) Leaves - chopped,2 sprig Curry leaves - chopped ( optional),Salt - to taste,Baking soda - A generous pinch,1 Onion - finely chopped,3/4 cup White Urad Dal (Split),Sunflower Oil - to deep fry",35,South Indian Recipes,"salt,ginger,coriander (dhania) leaves,curry leaves,white urad dal (split),onion,baking soda generous,sunflower oil",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coriander Semiya Recipe - Vermicelli Pulao,"1 cup Coriander (Dhania) Leaves,3 tablespoons Fresh coconut - grated,3 Cloves (Laung),2 cloves Garlic,Salt - to taste,3 tablespoons Sunflower Oil,1/2 cup Rice Vermicelli Noodles (Thin),1 Cardamom (Elaichi) Pods/Seeds,1/2 cup Green peas (Matar) - fresh or frozen,1/2 teaspoon Garam masala powder,1/2 cup Red onion - sliced,1 Bay leaf (tej patta),1/2 cup Carrots (Gajjar) - chopped,4 Green Chillies - (depending upon how spicy you want),1 Star anise",20,South Indian Recipes,"salt,rice vermicelli noodles (thin),garam masala powder,coconut,coriander (dhania) leaves,bay leaf (tej patta),cardamom (elaichi) podsseeds,green chillies (depending upon how spicy you want),cloves garlic,carrot,green peas (matar),red onion,cloves (laung),star anise,sunflower oil",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chia Seeds Smoothie Topped with Muesli Recipe,"2 Prunes - chopped,2 teaspoon Chia Seeds,4 tablespoon Milk,2 tablespoon Muesli,1 teaspoon Cranberries - dried,1 cup Mango (Ripe) - pureed",20,Continental,"prunes,mango (ripe),milk,muesli,chia seeds,cranberries dried",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knol Khol Gravy Recipe - Kohlrabi In A Yogurt Based Gravy,"1 tablespoon Garam masala powder,3 tablespoons Curd (Dahi / Yogurt) - whisked/ beaten,3 Knol Khol (Ganth Gobi/kadam),1/2 cup Water,1 teaspoon Cumin seeds (Jeera),1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),Coriander (Dhania) Leaves - finely chopped,1 Onion - finely chopped,Salt - As per your taste,1 tablespoon Sunflower Oil,3 Tomatoes,1 inch Ginger - finely chopped,3 cloves Garlic - finely chopped",40,Indian,"tomato,salt,ginger,coriander powder,coriander (dhania) leaves,red chilli powder,cloves garlic,water,curd,onion,cumin seeds (jeera),knol khol (ganth gobikadam),garam masala powder,sunflower oil",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn Bhel Recipe,"1 Potato (Aloo) - boiled,2 sprig Coriander (Dhania) Leaves - chopped,1 tablespoon Chaat Masala Powder,1 cup Sweet corn - boiled,2 tablespoons Green Chutney (Coriander & Mint),1 Onion - chopped,2 tablespoons Sweet Chutney (Date & Tamarind),Salt and Pepper - to taste,Sev - to garnish,2 Green Chillies - chopped",40,North Indian Recipes,"green chillies,salt,sev,potato (aloo),chaat masala powder,sweet chutney (date tamarind),coriander (dhania) leaves,onion,sweet corn,pepper,green chutney (coriander mint)",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egg And Spinach Breakfast Pizza Recipe,"1 teaspoon Sugar,1/2 cup Caramelized onions,1 cup All Purpose Flour (Maida),1/2 cup Lukewarm Water,1 cup Mozzarella cheese - grated,1 teaspoon Red Chilli flakes,1 teaspoon Dried oregano,1 cup Spinach,1/2 cup Cherry tomatoes - halved lengthwise,1 cup Whole Wheat Flour,1 tablespoon Active dry yeast,4 Whole Eggs,1 teaspoon Salt",130,Continental,"salt,wheat flour,spinach,mozzarella cheese,water,dry yeast,red chilli flakes,sugar,onion,eggs,flour (maida),cherry tomato,dried oregano",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dal Dhokli Recipe With Sprouted Moong Dal,"1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Mustard seeds,1/4 cup Gram flour (besan),1 inch Cinnamon Stick (Dalchini),Salt - to taste,2 tablespoon Ghee,1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 tablespoon Coriander (Dhania) Leaves - finely chopped,2 Green Chillies - slit,2 tablespoons Raw Peanuts (Moongphali),1/2 tablespoon Lemon juice,1 sprig Curry leaves,1/4 teaspoon Asafoetida (hing),1/2 teaspoon Cumin seeds (Jeera),4 sprig Coriander (Dhania) Leaves - finely chopped,2 tablespoons Jaggery - powdered,1 Kokum (Malabar Tamarind),1 cup Green Moong Sprouts - steamed,3/4 cup Whole Wheat Flour",55,Gujarati Recipes﻿,"salt,wheat flour,coriander (dhania) leaves,kokum (malabar tamarind),mustard seeds,asafoetida (hing),green moong sprouts,red chilli powder,jaggery,ghee,gram flour (besan),curry leaves,coriander (dhania) leaves,cinnamon stick (dalchini),lemon,peanuts (moongphali),cumin seeds (jeera),coriander powder,turmeric powder,green chillies",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ragi Sankati Recipe - Andhra Style Ragi Mudda,"5 tablespoons Ragi Flour (Finger Millet/ Nagli),Ghee - as required,Salt - to taste,1-1/2 cups Cooked rice,Water - as needed",35,Andhra,"salt,rice,ghee,water,ragi flour (finger millet nagli)",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instant Baked Aloo Tikki Recipe,"Salt - to taste,2 tablespoons Rice flour,1 teaspoon Red Chilli powder,4 Potatoes (Aloo) - grated,2 Spring Onion (Bulb & Greens) - finely chopped,Sunflower Oil - to brush,1 Green Bell Pepper (Capsicum) - finely chopped,3 tablespoons Whole Wheat Flour - or maida",15,Indian,"salt,red chilli powder,spring onion (bulb greens),potato (aloo),sunflower oil brush,green bell pepper (capsicum),rice flour,wheat flour maida",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sukhe Chole Recipe - Dry Masala Chickpeas,"1 tablespoon Coriander Powder (Dhania),Salt - to taste,1 teaspoon Cumin seeds (Jeera),1/4 teaspoon Ginger - paste,1/4 teaspoon Cumin powder (Jeera),2 teaspoon Chana Masala Powder,1/4 teaspoon Turmeric powder (Haldi),1 cup Kabuli Chana (White Chickpeas) - soaked overnight and boiled,2 teaspoon Red Chilli powder,Sunflower Oil - as required,2 teaspoon Amchur (Dry Mango Powder)",40,Punjabi,"salt,cumin powder (jeera),coriander powder,amchur (dry mango powder),red chilli powder,kabuli chana (white chickpeas),cumin seeds (jeera),ginger paste,turmeric powder,chana masala powder,sunflower oil",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick and Easy Eggless Whole Wheat Chocolate Cupcake Recipe,"3/4 cup Caster Sugar,1 teaspoon Vanilla Extract,3/4 cup Curd (Dahi / Yogurt),1/4 cup Cocoa Powder,2 cups Whole Wheat Flour,1/2 teaspoon Baking soda,1/2 cup Sunflower Oil - or canola or olive oil",40,Continental,"wheat flour,sunflower oil canola olive oil,baking soda,curd,vanilla,caster sugar,cocoa powder",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn and Spinach Whole Wheat Calzone Recipe,"1 Red Bell pepper (Capsicum) - finely chopped,1/4 cup Cheese,1 Green Chilli - finely chopped,Salt - to taste,1 cup Spinach - roughly chopped,1 cup Sweet corn - steamed,5 sprig Coriander (Dhania) Leaves - finely chopped,1/2 cup Paneer (Homemade Cottage Cheese) - or tofu,2 cups Whole Wheat Flour,Sunflower Oil - oil for cooking,1 Green Bell Pepper (Capsicum) - finely chopped",70,Italian Recipes,"cheese,salt,wheat flour,red bell pepper (capsicum),green chilli,spinach,sunflower oil oil,coriander (dhania) leaves,paneer tofu,sweet corn,green bell pepper (capsicum)",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Palak Bhurji Recipe,"1 tablespoon Red Chilli powder,1 tablespoon Cumin powder (Jeera),1 inch Ginger - chopped,1 Green Bell Pepper (Capsicum) - chopped,1 teaspoon Ajwain (Carom seeds),2 Onion - finely chopped,Salt and Pepper - to taste,1 cup Spinach,2 Green Chillies - chopped,4 cloves Garlic - chopped,1 teaspoon Turmeric powder (Haldi),1 Tomato - chopped,4 Whole Eggs",35,Indian,"tomato,salt,cumin powder (jeera),ginger,spinach,ajwain (carom seeds),red chilli powder,cloves garlic,onion,green bell pepper (capsicum),eggs,turmeric powder,green chillies,pepper",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broccoli & Water Chestnut Soup Recipe,"Salt - to taste,2 tablespoon Bean Sprouts - to garnish,1 cup Milk,1 teaspoon Rosemary,3 cloves Garlic - chopped,1 Broccoli - head,300 grams Singhade (water chestnut) - boiled and peeled,1 teaspoon Black pepper powder,1 teaspoon Dried oregano",40,Continental,"salt,rosemary,bean sprouts,black pepper powder,milk,cloves garlic,broccoli,singhade (water chestnut),dried oregano",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadhai Tofu Sabji Recipe,"1 Onion - diced,1 teaspoon Ginger - paste,1 teaspoon Kasuri Methi (Dried Fenugreek Leaves) - crushed,2 Tomatoes - blanched,250 grams Tofu - firm,2 teaspoon Coriander (Dhania) Seeds,5 to 6 Whole Black Peppercorns,Salt - to taste,1/2 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Sugar,1 teaspoons Anardana Powder (Pomegranate Seed Powder),1 teaspoon Garlic - paste,1 tablespoon Sunflower Oil,1 Black cardamom (Badi Elaichi),1/2 teaspoon Turmeric powder (Haldi),Coriander (Dhania) Leaves - as required,1 Green Bell Pepper (Capsicum) - diced,1 teaspoon Cumin seeds (Jeera),1 teaspoon Fennel seeds (Saunf),3 to 4 Dry Red Chilli,1 Bay leaf (tej patta)",25,North Indian Recipes,"tomato,coriander (dhania) leaves,anardana powder (pomegranate seed powder),black peppercorns,coriander (dhania) seeds,onion,cumin seeds (jeera),turmeric powder,sunflower oil,salt,black cardamom (badi elaichi),dry red chilli,sugar,kasuri methi (dried fenugreek leaves),garlic paste,tofu firm,amchur (dry mango powder),bay leaf (tej patta),fennel seeds (saunf),green bell pepper (capsicum),ginger paste",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrat Ki Kachori Recipe (Savory Buckwheat Paneer Pastry),"Water - to knead the dough,1 Potato (Aloo) - boiled & mashed,1 tablespoon Coriander (Dhania) Leaves - optional,1/2 teaspoon Red Chilli powder - with black pepper powder (adjust according to your taste),Black pepper powder - to taste,1 cup Paneer (Homemade Cottage Cheese),2 Green Chillies - chopped,100 grams Buckwheat Flour (Kuttu Ka Atta),Rock Salt - to taste,Sunflower Oil - to fry",40,North Indian Recipes,"salt,coriander (dhania) leaves,paneer,potato (aloo),red chilli powder black pepper powder,black pepper powder,buckwheat flour (kuttu ka atta),green chillies,water knead the dough,sunflower oil",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeera Milagu Rasam Recipe  - South Indian Pepper Cumin Rasam,"1/2 teaspoon Mustard seeds,1 teaspoon Cumin powder (Jeera),1/4 teaspoon Turmeric powder (Haldi) - optional,Salt - to taste,1 teaspoon Whole Black Peppercorns - coarsely pounded,30 grams Tamarind - soaked in hot water,1/2 teaspoon Black pepper powder,1 teaspoon Ghee,1 sprig Curry leaves,1/2 teaspoon Cumin seeds (Jeera)",30,South Indian Recipes,"salt,cumin powder (jeera),ghee,mustard seeds,black peppercorns,curry leaves,cumin seeds (jeera),black pepper powder,tamarind,turmeric powder",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengali Style Hilsa Fish In Poppy Seeds & Yogurt Curry Recipe,"1/4 teaspoon Kalonji (Onion Nigella Seeds),5 Green Chillies - slit (adjust to taste),1/2 tablespoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1/2 cup Water,1/2 tablespoon Poppy seeds - ground,1/2 tablespoon Kasundi mustard sauce,3 tablespoon Mustard oil,3 tablespoon Curd (Dahi / Yogurt),500 grams Hilsa Fish",40,Bengali Recipes,"salt,kasundi mustard sauce,kalonji (onion nigella seeds),mustard oil,poppy seeds ground,red chilli powder,water,curd,turmeric powder,green chillies,hilsa fish",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malabar Style Dates Pickle Recipe,"1 tablespoon Red Chilli powder,1 tablespoon Sugar,Salt - to taste,1 teaspoon Mustard seeds,4 Green Chillies - finely chopped,1 tablespoon Ginger - paste,1/4 teaspoon Asafoetida (hing),1/4 teaspoon Turmeric powder (Haldi),3 tablespoons Vinegar,2 tablespoons Sunflower Oil,250 grams Dates - pitted and roughly chopped,1 tablespoon Garlic - paste,1 sprig Curry leaves",20,Malabar,"salt,sunflower oil,mustard seeds,asafoetida (hing),red chilli powder,curry leaves,sugar,vinegar,ginger paste,dates,turmeric powder,green chillies,garlic paste",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrot Semolina Phirni Recipe,"2 Carrots (Gajjar) - grated,5 tablespoons Sugar,5 Saffron strands,500 ml Milk,1/2 teaspoon Cardamom Powder (Elaichi),2 tablespoons Ghee,10 Badam (Almond) - blanched,1/2 cup Sooji (Semolina/ Rava)",40,North Indian Recipes,"ghee,milk,saffron strands,carrot,sugar,badam (almond),cardamom powder (elaichi),sooji (semolina rava)",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil Free Gujarati Undhiyu Recipe - No Onion No Garlic,"2 teaspoons Green Chillies - finely chopped,4 teaspoons Coriander Powder (Dhania),1/2 teaspoon Asafoetida (hing),1/2 cup Methi Leaves (Fenugreek Leaves) - chopped,1 pinch Cooking soda,1 tablespoon Red Chilli powder,1 cup Avarekalu / Lilva Beans - stringed,1/2 cup Purple cabbage - shredded,Salt - to taste,1 cup Tindora (Dondakaya/ Kovakkai) - sliced,1 cup Raw Banana - chopped,1/2 cup Cabbage (Patta Gobi/ Muttaikose) - shredded,1 teaspoon Turmeric powder (Haldi),2 teaspoons Sugar - (optional),2 teaspoons Garam masala powder,1 cup Gram flour (besan) - or handwa flour mix,1-1/2 cups Coriander (Dhania) Leaves - chopped,1 teaspoon Sugar,1-1/2 teaspoons Turmeric powder (Haldi),3 teaspoons Red Chilli powder,Coriander (Dhania) Leaves - few,2 tablespoons Dessicated Coconut,1/2 cup Green peas (Matar),3 Brinjal (Baingan / Eggplant) - make 4 slits",60,Gujarati Recipes﻿,"salt,gram flour (besan) handwa flour mix,asafoetida (hing),coriander (dhania) leaves,coconut,methi leaves (fenugreek leaves),purple cabbage,red chilli powder,green peas (matar),banana,tindora (dondakaya kovakkai),cabbage (patta gobi muttaikose),sugar,soda,coriander powder,turmeric powder,green chillies,avarekalu lilva beans stringed,garam masala powder,brinjal (baingan eggsplant) make",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka Style Orange Peels Curry Recipe,"1 teaspoon White Urad Dal (Split),2 Orange,Salt - to taste,1 teaspoon Red Chilli powder,3 tablespoon Jaggery - adjustable,1 teaspoon Mustard seeds,Tamarind - big lemon size,1 Green Chilli - slit,1 Dry Red Chilli - broken,1 tablespoon Sunflower Oil,1 teaspoon Rasam Powder,1/4 teaspoon Methi Seeds (Fenugreek Seeds),Asafoetida (hing) - a pinch,1 tablespoon Rice flour,1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Turmeric powder (Haldi)",30,Karnataka,"salt,orange,sunflower oil,green chilli,mustard seeds,asafoetida (hing),jaggery,red chilli powder,dry red chilli,white urad dal (split),cumin seeds (jeera),rasam powder,methi seeds (fenugreek seeds),rice flour,turmeric powder,tamarind lemon",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala Style Chakka Pal Kozhukattai Recipe-Rice Dumpling In Jackfruit flavored Coconut Milk,"1 cup Fresh coconut - grated,1 cup Jackfruit Ripe (Kathal) - chopped finely,1 Cardamom (Elaichi) Pods/Seeds,1/2 cup Rice flour,Lukewarm Water - to knead,1 tablespoon Sunflower Oil,1 teaspoon Salt",50,Kerala Recipes,"salt,water knead,coconut,cardamom (elaichi) podsseeds,jackfruit ripe (kathal),rice flour,sunflower oil",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhaba Style Tawa Pulao Recipe - Masala Brown Rice Tawa Pulao,"1/4 cup Sweet corn - steamed,1 Green Chilli - finely chopped,1 Carrot (Gajjar) - finely chopped,1/2 tablespoon Red Chilli powder,1 tablespoon Pav bhaji masala,Coriander (Dhania) Leaves - a small bunch,Salt - to taste,1 Tomato - finely chopped,1 tablespoon Cumin seeds (Jeera),1 Onion - finely chopped,2 tablespoons Ghee,1/4 cup Green peas (Matar) - steamed,1 cup Brown Rice",35,North Indian Recipes,"tomato,salt,brown rice,pav bhaji masala,coriander (dhania),green chilli,ghee,green peas (matar),red chilli powder,carrot,onion,cumin seeds (jeera),sweet corn",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Burfi Recipe,"Canned Cherries - a few to garnish,1 tablespoon Cashew nuts - chopped,1 Fresh coconut - grated,2 Apples - grated,1/2 cup Milk,1 tablespoon Raisins,1 teaspoon Cardamom Powder (Elaichi),1 tablespoon Ghee,200 grams Condensed Milk",30,Indian,"cashew nuts,ghee,coconut,apples,milk,raisins,cardamom powder (elaichi),condensed milk,canned cherries",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala Style Sugiyan Recipe (Sweet Moong Dal Bondas),"1/2 cup Jaggery,1 cup Green Moong Dal (Whole) - soaked for 2 hours,1/4 cup Gram flour (besan),1 Cardamom Powder (Elaichi),1/2 cup Fresh coconut,1/2 cup Rice flour,1 teaspoon Turmeric powder (Haldi),Salt - Pinch",90,Kerala Recipes,"salt,rice flour,coconut,jaggery,gram flour (besan),cardamom powder (elaichi),green moong dal,turmeric powder",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makki Ki Baked Mathri Recipe (Baked Cornmeal Flaky Biscuit),"2 cup Corn meal,1/2 teaspoon Whole Black Peppercorns - crushed,Salt - to taste,1/2 tablespoon Kasuri Methi (Dried Fenugreek Leaves),1 cup Water - warm,2 to 3 tablespoons Sesame seeds (Til seeds),Sunflower Oil - as required",50,North Indian Recipes,"salt,black peppercorns,water,sesame seeds (til seeds),corn meal,kasuri methi (dried fenugreek leaves),sunflower oil",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
