TranslatedRecipeName,TranslatedIngredients,TotalTimeInMins,Cuisine,Cleaned-Ingredients,Ingredient-count,Canonical_Name,Name_Aliases,Cleaned_RecipeName
Mexican Style Vegetarian Chimichanga Recipe-Deep Fried Burrito,"1/2 cup Brown Rice - cooked,1/2 teaspoon Dry ginger powder,1 Green bell peppers - chopped small,Salt - to taste,1 Carrot (Gajjar) - peeled and chopped small,2 tablespoons Roasted tomato pasta sauce,4 Pickled Jalapenos - chopped,1 teaspoon Red Chilli powder,1 Onion - chopped,1/2 teaspoon Baking powder,1 teaspoon Red Chilli flakes,1 tablespoon Butter,1 Green Chilli - chopped,1/2 teaspoon Salt,1 cup Whole Wheat Flour,4 cloves Garlic - chopped,1 teaspoon Black pepper powder",45,Mexican,"salt,green bell peppers,brown rice,wheat flour,green chilli,baking powder,red chilli powder,cloves garlic,carrot,red chilli flakes,jalapenos,dry ginger powder,onion,black pepper powder,tomato pasta sauce,butter",16,mexican style vegetarian chimichanga,['deep fried burrito'],"mexican style vegetarian chimichanga, deep fried burrito"
Surti Obbattu Recipe - Fruit & Nut Pooris In Saffron Milk,"8 tablespoons Sugar,1-1/2 cup Fresh coconut - grated,70 grams Badam (Almond) - (soaked overnight and peeled),Rose Petals - for garnish,2 tablespoon Ghee,100 grams Badam (Almond) - roughly chopped,16 Saffron strands,1 tablespoon Gulkand - as required (optional),1 cup Milk,1/2 teaspoon Cardamom Powder (Elaichi),1/4 cup All Purpose Flour (Maida),2 tablespoons Sugar,1 cup Sooji (Semolina/ Rava) - fine,4 tablespoons Sugar,3 cups Milk,25 grams Cashew nuts - roughly chopped,25 grams Sultanas,Sunflower Oil - for frying,12 Saffron strands",70,Karnataka,"cashew nuts,sultanas,ghee,coconut,milk,saffron strands,flour,gulkand,sugar,badam,cardamom powder,sooji,rose,sunflower oil",14,surti obbattu,['fruit & nut pooris in saffron milk'],"surti obbattu, fruit & nut pooris in saffron milk"
Togarikalu Akki Recipe - Karnataka Style Rice Rava Upma with Fresh Pigeon Peas,"1 teaspoon White Urad Dal (Split),3 tablespoons Fresh coconut - grated,2 cups Rice rava,2 teaspoons Cumin seeds (Jeera),Salt - to taste,1 teaspoon Mustard seeds,1 teaspoon Whole Black Peppercorns,1 teaspoon Chana dal (Bengal Gram Dal),2 Dry Red Chillies,1 tablespoon Sunflower Oil,4 tablespoons Arhar dal (Split Toor Dal),1/4 teaspoon Asafoetida (hing),1 sprig Curry leaves,1 cup Fresh Green Toor Dal (Pigeon Pea)",20,Karnataka,"salt,arhar dal,mustard seeds,coconut,asafoetida,green toor dal,rice rava,black peppercorns,curry leaves,white urad dal,dry red chillies,cumin seeds,chana dal,sunflower oil",14,togarikalu akki,['karnataka style rice rava upma with fresh pigeon peas'],"togarikalu akki, karnataka style rice rava upma with fresh pigeon peas"
Easy Potato Kurma Recipe,"Salt - as required,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Ginger Garlic Paste,1-1/2 teaspoon Red Chilli powder,1 inch Cinnamon Stick (Dalchini),1 teaspoon Cumin seeds (Jeera),1 teaspoon Coriander Powder (Dhania),1/2 cup Fresh coconut - grated,1/2 teaspoon Garam masala powder,1 Onion - finely chopped,3 Potato (Aloo),1 teaspoon Fennel seeds (Saunf),1 tablespoon Sunflower Oil,1 Bay leaf (tej patta),2 Tomatoes",45,South Indian Recipes,"tomato,salt,bay leaf,fennel seeds,coconut,potato,red chilli powder,ginger garlic paste,onion,cinnamon stick,cumin seeds,coriander powder,turmeric powder,garam masala powder,sunflower oil",15,easy potato kurma,[],easy potato kurma
Suva Methi Baingan Sabzi Recipe ( Eggplant in Dill and Methi leaves Curry Recipe),"2 Tomatoes - chopped roughly,1/4 teaspoon Fennel seeds (Saunf),5 Small Brinjal (Baingan / Eggplant),1 cup Kasuri Methi (Dried Fenugreek Leaves),1 inch Ginger - grated,Salt - to taste,1/4 teaspoon Mustard seeds,3 Green Chillies - chopped small or minced,3 cloves Garlic - minced or crushed,1 tablespoon Mustard oil,1/2 teaspoon Cumin seeds (Jeera),1 pinch Asafoetida (hing),1 cup Dill leaves",35,North Indian Recipes,"tomato,salt,ginger,dill leaves,mustard oil,mustard seeds,brinjal,fennel seeds,asafoetida,cloves garlic,kasuri methi,cumin seeds,green chillies",13,suva methi baingan sabzi,[],suva methi baingan sabzi
Matki Chi Rassa Bhaji Recipe (Maharashtrian Style Moth Beans Cooked with Goda Masala),"3 sprig Coriander (Dhania) Leaves - finely chopped for garnish,4 cloves Garlic,2 Tomatoes - roughly chopped,Salt - to taste,1 teaspoon Red Chilli powder,1 teaspoon Mustard seeds,1 inch Ginger,1.5 tablespoons Maharashtrian Goda Masala,2 cups Moth Dal (Matki) - spouted,1 tablespoon Sunflower Oil,1 sprig Curry leaves,1/4 teaspoon Turmeric powder (Haldi),1 Onion - roughly chopped,1/2 teaspoon Cumin seeds (Jeera)",30,Maharashtrian Recipes,"tomato,salt,ginger,moth dal spouted,mustard seeds,red chilli powder,cloves garlic,curry leaves,onion,cumin seeds,maharashtrian goda masala,coriander leaves,turmeric powder,sunflower oil",14,matki chi rassa bhaji,[],matki chi rassa bhaji
Cream Cheese Swirl Brownies Recipes,"2 cups Dark chocolate,1/2 cup Butter (unsalted),540 grams Britannia Cheese Spread - Classic - at room temperature,1 teaspoon Vanilla Extract,1/4 teaspoon Salt,2 large Whole Eggs,1/2 teaspoon Vanilla Extract,1/4 cup Caster Sugar,1/2 cup All Purpose Flour (Maida),1 Whole Egg - at room temperature,1/2 cup Caster Sugar",50,Continental,"large eggs,salt,eggs,britannia cheese classic,vanilla,dark chocolate,caster sugar,flour,butter",9,cream cheese swirl brownies recipes,[],cream cheese swirl brownies recipes
Aloo Amritsari (Recipe In Hindi)," oil - as per use, 1 teaspoon coriander powder, 1/2 teaspoon Kashmiri red chilli powder, 1 teaspoon celery, 2 inches ginger - cas, 2 onions - cut directly, 1/2 small Spoon garam masala powder, salt - as per taste, 1/2 teaspoon turmeric powder, 2 tomatoes - finely chopped,4 Potatoes - cut into wedges, 4 sprig coriander - finely chopped, 2 long garlic",45,Punjabi,"tomato,turmeric powder,salt,ginger,kashmiri red chilli powder,onion directly,coriander,celery,spoon garam masala powder,garlic,oil,coriander powder,potatoes",13,aloo amritsari,[],aloo amritsari
Karela Aur Baingan Ki Sabzi Recipe - Bitter Gourd Brinjal Sabzi,"1 Karela (Bitter Gourd/ Pavakkai) - wash,1 teaspoon Amchur (Dry Mango Powder),6 Brinjal (Baingan / Eggplant) - thinly sliced,1/2 teaspoon Mustard seeds,Salt - to taste,1 Onion - chopped,1/2 teaspoon Red Chilli powder,1/2 teaspoon Methi Seeds (Fenugreek Seeds),1/4 teaspoon Turmeric powder (Haldi),2 tablespoons Sunflower Oil,1/2 teaspoon Cumin seeds (Jeera)",25,North Indian Recipes,"salt,amchur,mustard seeds,brinjal,karela,red chilli powder,onion,cumin seeds,methi seeds,turmeric powder,sunflower oil",11,karela aur baingan ki sabzi,['bitter gourd brinjal sabzi'],"karela aur baingan ki sabzi, bitter gourd brinjal sabzi"
Greek Style Briami Recipe (Simple Vegetable Stew Recipe),"Salt - to taste,2 Stalks Celery - chopped,2 Carrots (Gajjar) - diced,2 Onions - sliced,2 sprig Parsley leaves - finely chopped,Black pepper powder - to taste,1 Brinjal (Baingan / Eggplant) - cut into wedges,2 tablespoons Extra Virgin Olive Oil - for cooking,1 Green zucchini - cut into wedges,4 cloves Garlic - chopped,1/2 cup White broad beans - soaked over night,1 cup Cauliflower (gobi) - cut into small florets,5 Tomatoes - pureed,2 Potatoes (Aloo) - diced",60,Greek,"tomato,salt,brinjal,cauliflower,cloves garlic,carrot,stalks celery,parsley leaves,virgin olive oil,onion,white broad beans over night,black pepper powder,green zucchini,potato",14,greek style briami,['simple vegetable stew'],"greek style briami, simple vegetable stew"
South Indian Style Sorakkai Kootu Recipe - Bottle Gourd Cooked with Lentils,"1 teaspoon White Urad Dal (Split),1/2 teaspoon Turmeric powder (Haldi),1/4 cup Fresh coconut,2 cups Bottle gourd (lauki) - diced small,1/2 teaspoon Mustard seeds,2 sprig Curry leaves,1 teaspoon Cumin seeds (Jeera),1 Dry Red Chilli - broken into half,2 Red Chilli powder,1/4 cup Yellow Moong Dal (Split),1 teaspoon Sunflower Oil,1 pinch Asafoetida (hing)",40,South Indian Recipes,"yellow moong dal,coconut,mustard seeds,asafoetida,red chilli powder,dry red chilli,curry leaves,white urad dal,bottle gourd,cumin seeds,turmeric powder,sunflower oil",12,south indian style sorakkai kootu,['bottle gourd cooked with lentils'],"south indian style sorakkai kootu, bottle gourd cooked with lentils"
Tattha Poyaru Sambar Recipe - Black Eyed Beans Sambar,"1 teaspoon White Urad Dal (Split),1/4 cup Arhar dal (Split Toor Dal),2 Dry Red Chilli,2 teaspoon Sambar Powder,1/4 teaspoon Turmeric powder (Haldi) - + 1/4 teaspoon,2 cloves Garlic,1 Tomato - finely chopped,1/8 teaspoon Asafoetida (hing),1 teaspoon Red Chilli powder,1 teaspoon Mustard seeds,1/4 cup Coriander (Dhania) Leaves - finely chopped,1 Onion - finely chopped,1 cup Black Eyed Beans (Lobia),1/2 teaspoon Methi Seeds (Fenugreek Seeds),2 tablespoons Sunflower Oil,1 teaspoon Salt",50,South Indian Recipes,"tomato,salt,arhar dal,sambar powder,coriander leaves,asafoetida,mustard seeds,red chilli powder,cloves garlic,dry red chilli,white urad dal,onion,methi seeds,turmeric powder,black eyed beans,sunflower oil",16,tattha poyaru sambar,['black eyed beans sambar'],"tattha poyaru sambar, black eyed beans sambar"
Wheat Rava Halwa Recipe,"1 cup Brown Sugar (Demerara Sugar),1 cup Jaggery,1 cup Broken Wheat (Dalia/ Godumai Rava),1 teaspoon Cardamom Powder (Elaichi),1-1/2 tablespoon Ghee",30,North Indian Recipes,"wheat,ghee,jaggery,brown sugar,cardamom powder",5,wheat rava halwa,[],wheat rava halwa
Kerala Style Vedakkai Pachadi Recipe - Kerala Style Vendakkai Pachadi (Recipe in Hindi),"25 okra, 2 teaspoons oil, 1/2 cup coconut - grated, 5 green chillies - finely chopped, 1/2 teaspoon mustard, 1 sprig curry leaves, salt - as per taste, 1/2 teaspoon cumin seeds, 1 dry red chili - Break it, 1/4 cup curd",65,Kerala Recipes,"dry red chilli break,salt,coconut,mustard,curd,curry leaves,oil,green chillies,cumin seeds,okra",10,kerala style vedakkai pachadi,['kerala style vendakkai pachadi'],"kerala style vedakkai pachadi, kerala style vendakkai pachadi"
Jaggery Sweetened Apple Oatmeal Recipe,"Hazelnut - toasted as required,1-1/2 cup Milk,1/4 cup Jaggery - grated,Apple - cut into cubes as required,Sesame seeds (Til seeds) - as required,1 cup Apple - cut into cubes,1 teaspoon Vanilla Extract,1/2 cup Instant Oats (Oatmeal) - instant,2 cups Water,Raisins - as required,1/4 teaspoon Ginger - ground,1/4 teaspoon Nutmeg powder,1/4 teaspoon Cinnamon Powder (Dalchini)",30,Indian,"nutmeg powder,instant oats instant,milk,jaggery,raisins,water,ginger ground,apple,vanilla,sesame seeds,hazelnut,cinnamon powder",12,jaggery sweetened apple oatmeal,[],jaggery sweetened apple oatmeal
Vegetable Fried Mug Pulses Recipe - Bengali Style Mong Dal With Binta Vegetables,"1 cup Cauliflower (gobi) - cut into florets,1 teaspoon Sugar,Salt - to taste,1 inch Ginger - grated,2 Cardamom (Elaichi) Pods/Seeds,3/4 cup Yellow Moong Dal (Split),1/2 teaspoon Cumin seeds (Jeera),2 Dry Red Chillies,2 tablespoons Green peas (Matar) - steamed,1 Bay leaf (tej patta),1/4 Green beans (French Beans) - cut in 1,2 Cloves (Laung),1 tablespoon Ghee,1 teaspoon Turmeric powder (Haldi),1/4 cup Kaddu (Parangikai/ Pumpkin) - diced,1/2 inch Cinnamon Stick (Dalchini)",50,Bengali Recipes,"salt,green beans,yellow moong dal,ginger,parangikai pumpkin,bay leaf,cardamom podsseeds,ghee,cauliflower,green peas,sugar,dry red chillies,cinnamon stick,cumin seeds,turmeric powder,cloves",16,vegetable fried mug pulses,['bengali style mong dal with binta vegetables'],"vegetable fried mug pulses, bengali style mong dal with binta vegetables"
Breakfast Bar Recipe With Berries Quinoa & Oats,"4 cups Peanut Butter,2 cups Badam (Almond) - sliced,2 cups Cranberries - or raisins,1 cup Honey,1/2 cup Quinoa,2 cups Oat bran,2 cups Wheat Bran,1/2 cup Instant Oats (Oatmeal)",20,Continental,"wheat bran,peanut butter,badam,cranberries raisins,oat bran,quinoa,instant oats",7,breakfast bar with berries quinoa & oats,[],breakfast bar with berries quinoa & oats
Rajasthani Ghasela Recipe (Besan Ka Pitta),"Salt - as required,1 teaspoon Cumin seeds (Jeera),1 teaspoon Red Chilli powder,Coriander (Dhania) Leaves - Few sprigs,2 Green Chillies - finely chopped,1 Onion - finely chopped,Spring Onion Greens - Few sprigs,1/2 teaspoon Asafoetida (hing),1 teaspoon Turmeric powder (Haldi),1-1/2 cup Gram flour (besan),Sunflower Oil - as required",30,Rajasthani,"spring onion greens,salt,coriander leaves,asafoetida,red chilli powder,gram flour,onion,cumin seeds,turmeric powder,green chillies,sunflower oil",11,rajasthani ghasela,['besan ka pitta'],"rajasthani ghasela, besan ka pitta"
Zucchini And Bell Pepper Stir Fry Recipe,"1 tablespoon Extra Virgin Olive Oil,2 Red Bell pepper (Capsicum) - de-seeded and cut into stripes,Salt - to taste,1 teaspoon Dried oregano,1 teaspoon Red Chilli flakes,2 Green zucchini - cut into long stripes,3 cloves Garlic - finely chopped,1 Onion - thinly sliced,1 teaspoon Fresh Thyme leaves",15,Continental,"salt,red bell pepper,tme leaves,cloves garlic,red chilli flakes,virgin olive oil,onion,green zucchini,dried oregano",9,zucchini and bell pepper stir fry,[],zucchini and bell pepper stir fry
 Haldi Ki Sabzi Recipe," 2 green chillies - finely chopped, 1/4 cup curd - beat, 1 teaspoon coriander powder, 1 inch ginger - tighten, 1 teaspoon mustard, Coriander - little,200 grams turmeric - root, salt - according to taste, 1 sprig curry leaves, black pepper powder - as per taste, 1/2 teaspoon garam masala powder, 1 tablespoon gram flour",55,Rajasthani,"salt,ginger,garam masala powder,turmeric root,mustard,curd,coriander,curry leaves,coriander powder,black pepper powder,green chillies,gram flour",12,haldi ki sabzi,[],haldi ki sabzi
Erode Pallipalayam Chicken Fry Recipe,"1/2 teaspoon Turmeric powder (Haldi),4 Dry Red Chilli,4 cloves Garlic,2 sprig Coriander (Dhania) Leaves - chopped,Salt - to taste,1 teaspoon Red Chilli powder,Coconut Oil - for cooking,1 sprig Curry leaves,1 cup Pearl onions (Sambar Onions) - peeled,300 grams Chicken breasts - cut into small pieces",55,Tamil Nadu,"salt,red chilli powder,cloves garlic,dry red chilli,pearl onion,curry leaves,coriander leaves,coconut oil,chicken breasts,turmeric powder",10,erode pallipalayam chicken fry,[],erode pallipalayam chicken fry
Cauliflower Coconut Milk Stew (Recipe In Hindi)," oil - as per use, 2 cloves garlic - grated, 1 bay leaf, 2 cardamom - grind, 3 sprigs of coriander - finely chopped, 1 cup tomato puree,1 cabbage - chopped, salt - as per taste, 1/2 teaspoon whole black pepper - grind, 1/2 teaspoon turmeric Powder, 1/2 cup coconut milk, 1/2 teaspoon red chilli powder",50,South Indian Recipes,"turmeric powder,tomato,salt,red chilli powder,cloves garlic,black pepper grind,bay leaf,coriander,oil,coconut milk,cardamom grind,cabbage",12,cauliflower coconut milk stew,[],cauliflower coconut milk stew
Oven Baked Sweet Potato Fries Recipe,"3 tablespoon Extra Virgin Olive Oil,1 teaspoon Paprika powder - (or red chilli powder),2 tablespoon Fresh Herbs - chopped (or dried),4 Sweet Potatoes - peeled and cut into 3 inch wedges,5 cloves Garlic - grated or finely minced,1-1/2 tablespoon Corn flour,Rock Salt - to taste",50,Continental,"salt,corn flour,cloves garlic,virgin olive oil,herbs,paprika powder,sweet potatoes",7,oven baked sweet potato fries,[],oven baked sweet potato fries
Raw Mango and Cucumber Salad Recipe - Raw Mango Cucumber Salad Recipe," 1 cucumber - chopped, salt - as per taste,1 raw mango - cut, 1/4 cup peanut - baked 2 teaspoon paprika powder",20,Indian,"cucumber,peanut baked paprika powder,salt,mango",4,raw mango and cucumber salad,['raw mango cucumber salad'],"raw mango and cucumber salad, raw mango cucumber salad"
Kesar Shahi Tukda With Rabdi Recipe (Saffron Bread Pudding With Spiced Milk Custard),"1/3 cup Water,Saffron strands - few,1/3 cup Sugar,6 Whole Wheat Brown Bread,1/4 cup Ghee - (for shallow frying),1 teaspoon Cardamom Powder (Elaichi),1 cup Rabri,Mixed nuts - Chopped (almonds",85,North Indian Recipes,"rabri,wheat brown bread,mixed nuts",8,kesar shahi tukda with rabdi,[],kesar shahi tukda with rabdi
Potato Bodi Fry Recipe (Spicy Potato Sabiji Prem Tamil Nadu),"6 Dry Red Chillies - adjust according to your taste,1 tablespoon Arhar dal (Split Toor Dal),1 teaspoon Sesame (Gingelly) Oil,Salt - to taste,2 Potatoes (Aloo) - boiled along with the skin (do not boil them too soft),Asafoetida (hing) - a pinch,2 tablespoon White Urad Dal (Split),2 tablespoon Chana dal (Bengal Gram Dal),1 tablespoon Sesame (Gingelly) Oil",35,Tamil Nadu,"potato a the skin,salt,arhar dal,asafoetida,sesame oil,white urad dal,dry red chillies,chana dal",8,potato bodi fry,[],potato bodi fry
"Mango, Avocado And Chickpea Salad Recipe","1 tablespoon Extra Virgin Olive Oil,Salt and Pepper - to taste,2 Mango (Ripe) - peeled and diced,Lemon juice - 1 large lemon,1 Avocado - peeled and diced,1 cup Red Romaine lettuce,1 cup Kabuli Chana (White Chickpeas) - cooked,1 Dry Red Chilli - finely chopped",25,Continental,"salt,mango,virgin olive oil,dry red chilli,kabuli chana,avocado,lemon large lemon,red romaine lettuce,pepper",9,"mango, avocado and chickpea salad",[],"mango, avocado and chickpea salad"
"Mung Bean & Tofu Salad Recipe With Sweet Potatoes, Cucumbers & Tomatoes","1 tablespoon Lemon juice,1 cup Green Moong Sprouts,6 Cherry tomatoes - quartered,2 tablespoons Coriander (Dhania) Leaves - finely chopped,1 Green Chilli - finely chopped,1 tablespoon Green Chutney (Coriander & Mint),1/2 teaspoon Cumin powder (Jeera),Salt - to taste,1/2 teaspoon Coriander Powder (Dhania),Fresh Pomegranate Fruit Kernels,Sev - (optional),1/2 teaspoon Chaat Masala Powder,1/2 cup Sweet Potato - cubed,1/4 cup Onions,1/4 teaspoon Red Chilli powder,2 to 3 Lettuce leaves - to serve,1 teaspoon Sweet Chutney (Date & Tamarind),2 tablespoons Lemon juice - divided,1/4 cup Cucumber - chopped,1/2 cup Tofu - cubed",25,Continental,"salt,cumin powder,lettuce leaves,green chilli,coriander powder,coriander leaves,sev,chaat masala powder,green moong sprouts,red chilli powder,lemon divided,sweet chutney,pomegranate fruit kernels,onion,lemon,cucumber,tofu,cherry tomato,green chutney,sweet potato",20,"mung bean & tofu salad with sweet potatoes, cucumbers & tomatoes",[],"mung bean & tofu salad with sweet potatoes, cucumbers & tomatoes"
Begun Basanti Recipe - Eggplant In Mustard Yogurt Curry,"1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),1 inch Ginger - chopped,Salt - to taste,2 teaspoon Poppy seeds,1 teaspoon Red Chilli powder,1 Brinjal (Baingan / Eggplant) - cut into long wedges,1 pinch Sugar,1 Green Chilli - slit,2 teaspoon Yellow mustard seeds,1/4 cup Curd (Dahi / Yogurt),Mustard oil - for cooking",40,Bengali Recipes,"salt,cumin powder,ginger,green chilli,mustard oil,brinjal,red chilli powder,curd,sugar,poppy seeds,yellow mustard seeds,turmeric powder",12,begun basanti,['eggplant in mustard yogurt curry'],"begun basanti, eggplant in mustard yogurt curry"
Badshahi Chicken Recipe,"1 teaspoon Cumin powder (Jeera),1/4 cup Milk,2 Green Chillies - slit,1/2 Nutmeg,1 tablespoon Ghee,3/4 tablespoon Garlic - paste,1/2 tablespoon Kashmiri Red Chilli Powder,350 grams Chicken - curry cut pieces,1/2 Mace (Javitri),Salt - to taste,3 Cardamom (Elaichi) Pods/Seeds,1 teaspoon Turmeric powder (Haldi),3/4 tablespoon Ginger - paste,1/2 inch Cinnamon Stick (Dalchini),150 grams Curd (Dahi / Yogurt),20 grams Cashew nuts - paste,1 tablespoons Sugar,2 Onions - paste,2 Cloves (Laung),1 Black cardamom (Badi Elaichi),1/2 teaspoon Red Chilli powder,1 Onions - sliced,1 Cardamom (Elaichi) Pods/Seeds,Sunflower Oil - to cook,1/2 teaspoon Rose water - (optional)",55,Indian,"cumin powder,kashmiri red chilli powder,nutmeg,onion,turmeric powder,green chillies,sunflower oil,salt,black cardamom,chicken curry,cardamom podsseeds,rose water,mace,red chilli powder,onion paste,curd,sugar,garlic paste,ghee,milk,cashew nuts paste,cinnamon stick,ginger paste,cloves",24,badshahi chicken,[],badshahi chicken
Vegetarian Pot Pie Recipe,"1 Onion - chopped,Whole Egg - whisked,3 tablespoon Worcestershire sauce - (optional),3 sprig Parsley leaves - chopped,1 teaspoon Parsley leaves - chopped,7 Button mushrooms - sliced,1/2 cup Fresh cream - (or milk),Salt - to taste,1 Red Bell pepper (Capsicum) - chopped,2 Carrots (Gajjar) - diced,2 Bay leaves (tej patta),1/2 cup All Purpose Flour (Maida),1/4 cup Green peas (Matar),1 tablespoon Tabasco Original - Hot Sauce - 3/4 teaspoon red chilli powder,1 Potato (Aloo) - diced (or sweet potato),1 Yellow Bell Pepper (Capsicum) - chopped,10 Green beans (French Beans) - ends removed and cut into 1"" pieces,1/4 cup Corn Kernels,1/2 cup Broccoli - or cauliflower florets,100 grams Butter - cold,3 tablespoons Chilled water,3 cloves Garlic - crushed,2 teaspoon Sunflower Oil,3 tablespoon Whole Wheat Flour,1 teaspoon Fresh Thyme leaves - crushed,1 1/2 cups Whole Wheat Flour,2 teaspoon Butter,1/2 teaspoon Salt,3 sprig Fresh Thyme leaves - chopped,1 1/2 cups Vegetable stock",110,Continental,"yellow bell pepper,potato,eggs,broccoli cauliflower florets,tme leaves,tabasco original saucered chilli powder,flour,vegetable stock,water,parsley leaves,worcestershire sauce,button mushrooms,butter,bay leaves,butter cold,green peas,green beans """,28,vegetarian pot pie,[],vegetarian pot pie
Sweet Potato And Broccoli Sabzi Recipe,"1/2 teaspoon Cumin powder (Jeera),2 cups Broccoli - cut into florets,Salt - to taste,1/2 teaspoon Kalonji (Onion Nigella Seeds),1 teaspoon Red Chilli powder,1 teaspoon Sunflower Oil,1 Sweet Potato - peeled and cut lengthwise,1 teaspoon Turmeric powder (Haldi)",40,North Indian Recipes,"salt,cumin powder,kalonji,red chilli powder,broccoli,turmeric powder,sweet potato,sunflower oil",8,sweet potato and broccoli sabzi,[],sweet potato and broccoli sabzi
Alfredo Spaghetti with Roasted Mushroom & Broccoli Recipe,"4 cloves Garlic - minced,1 cup Broccoli - cut into small florets,1 cup Classic Alfredo Pasta Sauce,1 cup Button mushrooms - quartered,1 teaspoon Red Chilli flakes,Salt and Pepper - to taste,1 teaspoon Dried oregano",60,Italian Recipes,"salt,cloves garlic,red chilli flakes,classic alfredo pasta sauce,broccoli,pepper,button mushrooms,dried oregano",8,alfredo spaghetti with roasted mushroom & broccoli,[],alfredo spaghetti with roasted mushroom & broccoli
Andhra Style Mirapakaya Bajji Recipe - Stuffed Chilli Recipe,"Sunflower Oil - for deep frying,1 teaspoon Cumin powder (Jeera),1 teaspoon Enos fruit salt,5 grams Tamarind,Salt - to taste,3 sprig Coriander (Dhania) Leaves - chopped,6 Badi hari mirch (Large Green Chilli),1 teaspoon Red Chilli powder,1 Onion - chopped,1 teaspoon Ajwain (Carom seeds),1 cup Gram flour (besan),2 tablespoon Roasted Gram Dal (Pottukadalai),1/3 cup Rice flour,1 teaspoon Chaat Masala Powder,1 pinch Asafoetida (hing)",40,Andhra,"salt,cumin powder,rice flour,asafoetida,ajwain,gram dal,red chilli powder,chaat masala powder,gram flour,coriander leaves,onion,badi hari mirch,enos fruit salt,tamarind,sunflower oil",15,andhra style mirapakaya bajji,['stuffed chilli'],"andhra style mirapakaya bajji, stuffed chilli"
Pudina Quinoa Recipe,"2 Cardamom (Elaichi) Pods/Seeds,1 teaspoon Ghee,6 cloves Garlic - finely chopped,1 inch Cinnamon stick,1 Onion - finely chopped,1 Green Chilli - slit,1 cup Quinoa,1/4 Mint Leaves (Pudina) - finely chopped,2 Cloves (Laung),Salt",30,Indian,"salt,green chilli,cardamom podsseeds,ghee,cinnamon stick,cloves garlic,onion,mint leaves,cloves,quinoa",10,pudina quinoa,[],pudina quinoa
Sprouted Ragi Chicken Cutlet Recipe,"1/2 teaspoon Cumin powder (Jeera),4 cloves Garlic - mashed,Salt - to taste,1/2 cup Carrots (Gajjar) - boiled and mashed,1 inch Ginger - grated,1 cup Instant Oats (Oatmeal),1/2 teaspoon Garam masala powder,2 Green Chillies - finely chopped,1/2 cup Potato (Aloo) - boiled and mashed,1/3 cup Ragi Seeds - soaked overnight and sprouted,1 Onion - finely chopped,1/3 cup Coriander (Dhania) Leaves - finely chopped,250 grams Boneless chicken,1 teaspoon Black pepper powder",45,Indian,"salt,cumin powder,boneless chicken,ginger,garam masala powder,coriander leaves,black pepper powder,potato,cloves garlic,carrot,onion,ragi seeds sprouted,green chillies,instant oats",14,sprouted ragi chicken cutlet,[],sprouted ragi chicken cutlet
Homemade Ice-Cream Cake Recipe,"2 cups All Purpose Flour (Maida),2 1/2 cups Sugar,1/2 teaspoon Strawberry Essense,1 cup Chocolate chips,1 1/2 liter Vanilla Ice cream,4 Whole Eggs - at room temperature,3/4 cup Sunflower Oil,Strawberry Cake - A 9-inch strawberry cake,2 teaspoon Baking powder,1 cup Milk - warm,1 cup Decorative sugar (Cake/ Candy Sprinkles) - for decorating,1 1/2 liter Chocolate Ice cream - softened,2 teaspoon Vanilla Extract",45,Indian,"baking powder,decorative sugar decorating,strawberry essense,chocolate ice,milk,flour,sugar,vanilla,eggs,vanilla ice,chocolate chips,strawberry cake strawberry cake,sunflower oil",13,homemade ice,['cream cake'],"homemade ice, cream cake"
One Pot Pav Bhaji Recipe Using Preethi Electric Pressure Cooker,"1 tablespoon Lemon juice,1 cup Tomato - puree,1 sprig Coriander (Dhania) Leaves - finely chopped for garnishing,3 cloves Garlic - grated,Salt - to taste,2 Carrots (Gajjar) - diced,1 Onion - finely chopped,12 Pav buns,1/2 cup Cabbage (Patta Gobi/ Muttaikose) - chopped,2 teaspoons Pav bhaji masala,1 teaspoon Ginger - grated,1/2 cup Green peas (Matar) - steamed,3 Potatoes (Aloo) - peeled and diced,2 tablespoons Butter,1 Green Bell Pepper (Capsicum) - finely chopped,1 teaspoon Chaat Masala Powder,1 Onions - finely chopped for serving",55,North Indian Recipes,"tomato,pav bhaji masala,salt,ginger,chaat masala powder,green peas,cloves garlic,carrot,coriander leaves,onion,lemon,green bell pepper,pav buns,potato,butter,cabbage",16,one pot pav bhaji using preethi electric pressure cooker,[],one pot pav bhaji using preethi electric pressure cooker
Cuban Black Bean Salad Recipe,"1 Red Yellow and Green Bell Peppers (Capsicum) - finely chopped,Parsley leaves - small bunch,Salt - to taste,2 cloves Garlic - minced,2 Tomatoes - diced (or cherry tomatoes),1/2 teaspoon Dried oregano,1 Red onion - chopped,1/2 teaspoon Black pepper powder,1 cup Sweet corn - steamed,2 tablespoons Extra Virgin Olive Oil,3 tablespoons Fresh orange juice,1/2 teaspoon Orange Zest (Rind),1 Canned black beans - (canned) drained & rinsed,2 teaspoon Cumin powder (Jeera),1 teaspoon Dried oregano",20,Continental,"salt,orange,canned black beans,cumin powder,tomato,black pepper powder,parsley,virgin olive oil,cloves garlic,orange juice,red yellow green bell peppers,sweet corn,red onion,dried oregano",14,cuban black bean salad,[],cuban black bean salad
